Type	POS	Headword	Rank	Freq	Range
trps			125	45	1
when			125	45	9
other			133	44	10
perceived			133	44	5
been			135	43	8
being			135	43	9
n			135	43	5
one			135	43	8
systematic			135	43	7
used			135	43	10
any			141	42	8
c			141	42	7
d			141	42	6
mt			141	42	1
stroke			141	42	2
groups			146	41	7
across			147	40	8
days			147	40	4
however			147	40	8
t			147	40	6
therapist			147	40	4
chronic			152	39	7
our			152	39	5
day			154	38	4
gastrointestinal			154	38	2
increased			154	38	6
lifestyle			154	38	5
among			158	37	6
defecation			158	37	2
g			158	37	8
nursing			158	37	3
related			158	37	7
along			163	36	4
fatigue			163	36	2
headache			163	36	2
individuals			163	36	5
posterior			163	36	1
professional			163	36	6
based			169	35	9
into			169	35	9
then			169	35	7
data			172	34	7
over			172	34	8
population			172	34	5
work			172	34	4
benefits			176	33	8
bodywork			176	33	6
h			176	33	6
scheme			176	33	1
session			176	33	6
support			176	33	8
university			176	33	6
chain			183	32	1
findings			183	32	9
left			183	32	4
muscles			183	32	3
non			183	32	7
randomized			183	32	6
therapists			183	32	6
daily			190	31	4
high			190	31	8
improvement			190	31	8
l			190	31	7
low			190	31	6
medical			190	31	8
need			190	31	9
right			190	31	5
than			190	31	10
b			199	30	6
bowel			199	30	2
conditions			199	30	6
conducted			199	30	8
cost			199	30	4
food			199	30	2
money			199	30	1
only			199	30	10
technique			199	30	6
test			199	30	3
approach			209	29	6
education			209	29	6
effective			209	29	5
effectiveness			209	29	5
further			209	29	7
included			209	29	7
lower			209	29	4
myofascial			209	29	3
people			209	29	5
reviews			209	29	4
should			209	29	6
age			220	28	5
associated			220	28	8
dysfunction			220	28	5
including			220	28	8
k			220	28	5
long			220	28	8
ther			220	28	6
two			220	28	7
within			220	28	6
activity			229	27	6
complementary			229	27	7
first			229	27	8
future			229	27	7
measures			229	27	5
pmc			229	27	7
role			229	27	6
showed			229	27	5
system			229	27	8
therapeutic			229	27	7
trial			229	27	5
u			229	27	3
analysis			241	26	7
fascia			241	26	2
interventions			241	26	6
journal			241	26	9
kastamonu			241	26	1
payment			241	26	1
spine			241	26	1
table			241	26	4
tolerance			241	26	2
upper			241	26	3
young			241	26	3
changes			252	25	4
compared			252	25	8
general			252	25	7
many			252	25	9
new			252	25	6
often			252	25	9
participant			252	25	3
performed			252	25	5
pharmacological			252	25	3
potential			252	25	8
prevalence			252	25	2
techniques			252	25	9
will			252	25	8
alternative			265	24	3
certainty			265	24	1
different			265	24	6
intake			265	24	2
message			265	24	1
overall			265	24	8
process			265	24	10
r			265	24	6
adverse			273	23	5
another			273	23	7
back			273	23	6
case			273	23	6
controlled			273	23	5
difference			273	23	7
factors			273	23	6
improve			273	23	5
literature			273	23	6
scale			273	23	5
side			273	23	4
week			273	23	6
conclusions			285	22	4
consistent			285	22	5
f			285	22	6
observed			285	22	5
pay			285	22	1
reliability			285	22	3
sağlık			285	22	1
sessions			285	22	4
so			285	22	6
status			285	22	2
term			285	22	10
trapezius			285	22	1
trials			285	22	5
trigger			285	22	2
up			285	22	6
years			285	22	8
appropriate			301	21	6
authors			301	21	6
cervicogenic			301	21	1
common			301	21	9
criteria			301	21	7
did			301	21	6
important			301	21	7
mean			301	21	6
number			301	21	9
out			301	21	9
pressure			301	21	6
profession			301	21	2
safety			301	21	4
says			301	21	1
scores			301	21	5
tissue			301	21	5
according			317	20	4
aps			317	20	1
before			317	20	6
communication			317	20	4
decreased			317	20	5
focus			317	20	7
help			317	20	8
improved			317	20	4
international			317	20	7
mashhad			317	20	1
medicine			317	20	6
particularly			317	20	7
points			317	20	4
populations			317	20	6
researchers			317	20	5
significantly			317	20	6
specific			317	20	6
ve			317	20	2
dehghan			335	19	2
development			335	19	7
indicated			335	19	3
key			335	19	8
lov			335	19	2
part			335	19	8
recovery			335	19	6
reporting			335	19	3
risk			335	19	4
sciences			335	19	2
severity			335	19	4
she			335	19	3
somatic			335	19	2
them			335	19	6
therapies			335	19	5
your			335	19	1
approaches			351	18	6
assess			351	18	7
assessed			351	18	7
author			351	18	8
complications			351	18	2
distension			351	18	2
found			351	18	6
functional			351	18	7
head			351	18	3
improvements			351	18	4
like			351	18	4
movement			351	18	5
multiple			351	18	5
players			351	18	1
point			351	18	6
reduce			351	18	5
relationship			351	18	4
tension			351	18	4
where			351	18	5
addition			370	17	4
conclusion			370	17	8
enhance			370	17	5
essential			370	17	5
fascial			370	17	3
financial			370	17	3
higher			370	17	4
increase			370	17	5
information			370	17	6
kinetic			370	17	1
main			370	17	7
mcclurg			370	17	2
method			370	17	9
outcome			370	17	5
positive			370	17	6
reduced			370	17	6
researcher			370	17	1
schemes			370	17	1
sham			370	17	2
three			370	17	7
tool			370	17	6
whether			370	17	7
without			370	17	7
although			393	16	8
dergisi			393	16	1
describe			393	16	4
despite			393	16	7
disease			393	16	3
frequency			393	16	2
going			393	16	3
he			393	16	2
heartspeak			393	16	1
her			393	16	4
impact			393	16	8
int			393	16	6
once			393	16	6
physiological			393	16	3
protocol			393	16	6
reference			393	16	4
relaxation			393	16	4
report			393	16	5
services			393	16	2
setting			393	16	4
therefore			393	16	5
values			393	16	4
various			393	16	6
very			393	16	6
volume			393	16	7
way			393	16	5
zealand			393	16	1
additionally			420	15	6
apss			420	15	1
awareness			420	15	5
beneficial			420	15	6
better			420	15	8
ensure			420	15	7
fiber			420	15	2
form			420	15	6
guidelines			420	15	3
healthcare			420	15	3
know			420	15	2
lead			420	15	5
levels			420	15	5
moderate			420	15	5
my			420	15	4
neck			420	15	1
others			420	15	4
post			420	15	6
practitioner			420	15	4
prior			420	15	5
psychological			420	15	6
public			420	15	3
range			420	15	4
received			420	15	6
shared			420	15	1
similarly			420	15	7
academy			446	14	2
applied			446	14	8
available			446	14	4
comparators			446	14	2
considered			446	14	6
costs			446	14	5
disorders			446	14	5
does			446	14	6
efficacy			446	14	3
feeling			446	14	5
field			446	14	4
forward			446	14	4
hamstrings			446	14	2
intensive			446	14	2
iran			446	14	1
manual			446	14	7
med			446	14	6
might			446	14	7
safe			446	14	4
size			446	14	3
stool			446	14	2
thoracolumbar			446	14	1
tools			446	14	6
touch			446	14	6
validity			446	14	4
akademisi			471	13	1
amount			471	13	3
atıf			471	13	1
cas			471	13	1
checklist			471	13	2
condition			471	13	6
current			471	13	7
due			471	13	5
evaluation			471	13	6
game			471	13	1
gavage			471	13	1
gentle			471	13	2
get			471	13	3
goniometer			471	13	1
include			471	13	4
installments			471	13	1
kalyoncuo			471	13	1
konstipasyon			471	13	1
large			471	13	4
limited			471	13	7
mechanisms			471	13	6
musculoskeletal			471	13	4
presence			471	13	3
procedure			471	13	5
questions			471	13	4
regular			471	13	3
repeated			471	13	4
sak			471	13	1
score			471	13	2
social			471	13	7
suggests			471	13	5
terminology			471	13	2
think			471	13	2
those			471	13	8
total			471	13	5
toward			471	13	4
v			471	13	5
çetinkaya			471	13	2
active			509	12	5
aged			509	12	3
benefit			509	12	5
clear			509	12	7
commonly			509	12	3
community			509	12	5
contribute			509	12	4
credibility			509	12	1
critical			509	12	8
go			509	12	2
informed			509	12	5
make			509	12	3
needs			509	12	5
objective			509	12	5
order			509	12	2
period			509	12	6
position			509	12	3
possible			509	12	4
preferred			509	12	3
primary			509	12	5
rate			509	12	5
rates			509	12	4
season			509	12	1
see			509	12	4
set			509	12	4
still			509	12	4
strategies			509	12	5
structured			509	12	3
symptom			509	12	6
team			509	12	1
throughout			509	12	5
understanding			509	12	4
www			509	12	5
accessible			542	11	4
adherence			542	11	2
asked			542	11	5
athletes			542	11	1
basketball			542	11	1
change			542	11	5
comparison			542	11	4
concluded			542	11	3
consider			542	11	5
demographic			542	11	4
described			542	11	4
diversity			542	11	1
duration			542	11	4
enough			542	11	3
evaluate			542	11	7
example			542	11	7
experience			542	11	6
fluid			542	11	2
functioning			542	11	5
interest			542	11	5
intestinal			542	11	2
level			542	11	6
lite			542	11	1
making			542	11	5
measured			542	11	5
measuring			542	11	2
meta			542	11	5
noted			542	11	5
nurses			542	11	4
occipital			542	11	1
offered			542	11	3
play			542	11	5
player			542	11	1
practices			542	11	5
practitioners			542	11	4
pretest			542	11	1
pss			542	11	2
rated			542	11	2
receiving			542	11	6
recognized			542	11	4
region			542	11	3
res			542	11	2
sample			542	11	4
sci			542	11	5
settings			542	11	6
small			542	11	5
style			542	11	1
supported			542	11	4
treatments			542	11	6
twice			542	11	3
weekly			542	11	5
y			542	11	5
acc			594	10	1
accessed			594	10	3
affected			594	10	2
always			594	10	5
baseline			594	10	4
bilgili			594	10	2
blinding			594	10	3
bloating			594	10	2
book			594	10	3
broader			594	10	3
cancer			594	10	3
capitis			594	10	1
challenges			594	10	6
characteristics			594	10	5
completed			594	10	4
complex			594	10	6
considerations			594	10	3
consistency			594	10	4
contact			594	10	4
context			594	10	5
continued			594	10	3
designed			594	10	5
dietary			594	10	2
discomfort			594	10	4
diseases			594	10	4
duke			594	10	1
enhancing			594	10	3
events			594	10	4
explore			594	10	4
fecal			594	10	2
feel			594	10	2
flexion			594	10	1
follow			594	10	5
fonseca			594	10	1
frequently			594	10	3
funding			594	10	5
furthermore			594	10	5
gastrosoleus			594	10	1
giver			594	10	1
goal			594	10	5
good			594	10	5
growing			594	10	7
healthy			594	10	5
infants			594	10	2
just			594	10	2
lateral			594	10	2
limitations			594	10	5
motion			594	10	1
needed			594	10	6
o			594	10	4
offer			594	10	4
okuyan			594	10	2
piriformis			594	10	1
proposed			594	10	5
provide			594	10	5
providing			594	10	6
published			594	10	8
ranging			594	10	4
re			594	10	2
reduction			594	10	4
regarding			594	10	5
relief			594	10	3
same			594	10	5
simple			594	10	4
splenius			594	10	1
standard			594	10	5
standardized			594	10	3
supporting			594	10	4
take			594	10	4
tekgündüz			594	10	1
ten			594	10	1
thought			594	10	3
type			594	10	5
typically			594	10	4
until			594	10	5
us			594	10	4
words			594	10	3
access			671	9	4
addressing			671	9	6
afford			671	9	1
aotearoa			671	9	1
areas			671	9	5
association			671	9	5
barriers			671	9	2
base			671	9	3
cervicis			671	9	1
contributing			671	9	3
crucial			671	9	5
develop			671	9	4
discussion			671	9	7
distention			671	9	1
either			671	9	5
examining			671	9	7
experimental			671	9	3
felt			671	9	2
find			671	9	5
four			671	9	5
hamstring			671	9	1
having			671	9	5
history			671	9	6
identified			671	9	6
identifying			671	9	5
increasing			671	9	5
indicating			671	9	4
integrated			671	9	4
interview			671	9	2
introduction			671	9	7
investigate			671	9	3
knee			671	9	4
map			671	9	1
massages			671	9	2
measure			671	9	4
methods			671	9	4
normal			671	9	3
nz			671	9	1
options			671	9	5
parkinson			671	9	2
pcs			671	9	1
person			671	9	2
phd			671	9	6
pif			671	9	1
professionals			671	9	4
program			671	9	3
programs			671	9	5
quadrant			671	9	1
qualitative			671	9	5
rather			671	9	5
references			671	9	8
release			671	9	3
remains			671	9	5
resulting			671	9	5
ridge			671	9	1
rotation			671	9	1
several			671	9	4
severe			671	9	3
short			671	9	4
site			671	9	6
sleep			671	9	4
soft			671	9	3
sports			671	9	5
state			671	9	4
subjective			671	9	5
suggest			671	9	4
supportive			671	9	2
theme			671	9	1
thus			671	9	4
transparency			671	9	1
underlying			671	9	4
verbal			671	9	1
widely			671	9	3
yet			671	9	4
üniversitesi			671	9	1
able			746	8	4
addressed			746	8	3
administration			746	8	2
adult			746	8	2
alignment			746	8	3
area			746	8	5
around			746	8	3
athletic			746	8	1
because			746	8	3
best			746	8	4
birimoğlu			746	8	1
complement			746	8	4
components			746	8	5
course			746	8	5
definition			746	8	5
determine			746	8	4
developing			746	8	4
diagnosis			746	8	4
domains			746	8	3
energy			746	8	2
even			746	8	6
face			746	8	3
final			746	8	6
given			746	8	5
gratitude			746	8	3
greater			746	8	5
hand			746	8	4
highlights			746	8	5
hospital			746	8	3
implement			746	8	2
importance			746	8	5
inclusion			746	8	3
individual			746	8	5
indonesia			746	8	1
interaction			746	8	3
intra			746	8	2
invasive			746	8	3
i̇skender			746	8	1
keywords			746	8	8
knowledge			746	8	4
laxatives			746	8	2
least			746	8	4
likely			746	8	3
made			746	8	5
mcs			746	8	1
means			746	8	4
mental			746	8	3
model			746	8	6
movements			746	8	2
much			746	8	5
nervous			746	8	5
open			746	8	4
paid			746	8	1
pelvic			746	8	4
perceptions			746	8	2
peristalsis			746	8	2
persistent			746	8	3
perspective			746	8	3
placebo			746	8	4
pre			746	8	6
provided			746	8	6
reach			746	8	6
recent			746	8	5
result			746	8	4
seeking			746	8	5
seen			746	8	4
service			746	8	3
shown			746	8	3
sides			746	8	1
strong			746	8	4
structure			746	8	4
third			746	8	3
travel			746	8	1
turan			746	8	1
understand			746	8	4
understood			746	8	4
value			746	8	6
version			746	8	2
why			746	8	3
williams			746	8	3
çalışkan			746	8	1
ability			827	7	6
acupressure			827	7	3
advanced			827	7	3
advantage			827	7	2
alone			827	7	6
approximately			827	7	3
athlete			827	7	1
beyond			827	7	5
caregivers			827	7	2
certain			827	7	3
clarity			827	7	2
coefficient			827	7	3
collected			827	7	6
colon			827	7	2
combination			827	7	5
combined			827	7	5
confirmed			827	7	3
content			827	7	3
copyright			827	7	7
ctim			827	7	3
deep			827	7	3
demonstrated			827	7	3
design			827	7	6
difficult			827	7	4
elite			827	7	1
end			827	7	3
ethics			827	7	4
evacuation			827	7	1
evaluated			827	7	4
expectations			827	7	3
expensive			827	7	1
fakültesi			827	7	1
feasibility			827	7	3
finding			827	7	4
following			827	7	4
free			827	7	2
fss			827	7	1
gastric			827	7	1
getting			827	7	2
glycol			827	7	2
hard			827	7	2
helping			827	7	2
hemşirelik			827	7	1
heterogeneity			827	7	1
holistic			827	7	4
icc			827	7	2
idea			827	7	2
ijtmb			827	7	3
impacts			827	7	2
inconsistent			827	7	3
indicates			827	7	3
initial			827	7	5
integration			827	7	4
internal			827	7	5
isq			827	7	1
issue			827	7	5
item			827	7	3
license			827	7	7
line			827	7	3
maintaining			827	7	5
meaning			827	7	4
meaningful			827	7	3
mechanical			827	7	2
men			827	7	3
minutes			827	7	3
mobility			827	7	3
mokhtare			827	7	2
mtrps			827	7	1
nature			827	7	6
necessary			827	7	5
neurological			827	7	4
orthopedic			827	7	3
painful			827	7	2
patterns			827	7	2
paying			827	7	2
percentage			827	7	2
place			827	7	3
polyethylene			827	7	2
posttest			827	7	2
practical			827	7	3
preferences			827	7	1
prevention			827	7	3
processing			827	7	1
purpose			827	7	4
pwyw			827	7	1
rater			827	7	1
receive			827	7	3
recognition			827	7	3
recommended			827	7	3
reducing			827	7	4
reflect			827	7	7
regulation			827	7	2
remained			827	7	5
requires			827	7	6
residual			827	7	1
response			827	7	6
responses			827	7	3
schedule			827	7	2
school			827	7	3
science			827	7	5
screening			827	7	2
search			827	7	2
secondary			827	7	4
sense			827	7	4
show			827	7	3
specifically			827	7	2
staff			827	7	4
standing			827	7	3
started			827	7	2
statistically			827	7	3
steps			827	7	3
student			827	7	2
suggesting			827	7	5
sundberg			827	7	1
supports			827	7	4
taking			827	7	3
tape			827	7	1
taxonomy			827	7	1
terms			827	7	4
times			827	7	5
transit			827	7	1
under			827	7	6
w			827	7	4
wall			827	7	3
weeks			827	7	4
wellness			827	7	4
women			827	7	3
year			827	7	4
yogyakarta			827	7	1
aarti			956	6	1
ac			956	6	3
acknowledgments			956	6	5
acupuncture			956	6	4
additional			956	6	4
adequate			956	6	3
advancing			956	6	2
affordable			956	6	2
aging			956	6	3
aim			956	6	3
algometer			956	6	1
allow			956	6	3
altun			956	6	2
am			956	6	4
application			956	6	5
april			956	6	2
arslan			956	6	1
atabek			956	6	1
attention			956	6	5
autonomic			956	6	2
aştı			956	6	1
balance			956	6	5
beginning			956	6	3
bilimleri			956	6	1
bmc			956	6	3
classification			956	6	3
co			956	6	2
collaboration			956	6	3
college			956	6	3
committee			956	6	5
comparative			956	6	1
comparing			956	6	4
comprehensive			956	6	5
concept			956	6	3
conflict			956	6	6
conflicts			956	6	6
considering			956	6	3
contexts			956	6	3
contrast			956	6	4
contributes			956	6	4
controls			956	6	1
corresponding			956	6	5
credible			956	6	1
defined			956	6	4
definitions			956	6	2
department			956	6	2
developed			956	6	5
diagnostic			956	6	3
diet			956	6	2
direction			956	6	4
doing			956	6	4
down			956	6	3
dry			956	6	3
efforts			956	6	3
employed			956	6	3
enhances			956	6	3
ensuring			956	6	3
explains			956	6	1
facilitate			956	6	3
frameworks			956	6	1
gastroenterology			956	6	2
gift			956	6	1
goals			956	6	3
guide			956	6	4
guided			956	6	3
habits			956	6	1
helps			956	6	4
highlighting			956	6	3
hospitalized			956	6	1
hours			956	6	4
illustrates			956	6	2
incidence			956	6	2
income			956	6	1
incomplete			956	6	2
increases			956	6	3
increasingly			956	6	3
india			956	6	2
installment			956	6	1
institute			956	6	2
invercargill			956	6	1
involved			956	6	3
involves			956	6	4
issues			956	6	3
items			956	6	2
kayıkçı			956	6	1
lack			956	6	3
laxative			956	6	2
light			956	6	3
luxury			956	6	1
manuscript			956	6	3
march			956	6	6
matthews			956	6	1
measurements			956	6	3
medications			956	6	1
michigan			956	6	1
mild			956	6	1
min			956	6	2
mindbody			956	6	1
moreover			956	6	3
morning			956	6	3
notes			956	6	4
nutrition			956	6	2
option			956	6	5
phone			956	6	3
phys			956	6	4
poor			956	6	5
potentially			956	6	5
power			956	6	4
pract			956	6	3
preterm			956	6	1
price			956	6	3
psychol			956	6	3
publications			956	6	2
q			956	6	3
reason			956	6	3
rectal			956	6	1
referred			956	6	1
reflects			956	6	2
registered			956	6	4
reliable			956	6	3
rest			956	6	5
return			956	6	5
richey			956	6	1
scope			956	6	3
second			956	6	3
selected			956	6	5
sensation			956	6	3
showing			956	6	3
shows			956	6	3
smith			956	6	1
sought			956	6	3
states			956	6	3
stay			956	6	2
stimulation			956	6	3
strict			956	6	1
survey			956	6	4
swedish			956	6	1
syndrome			956	6	2
systems			956	6	3
tested			956	6	1
thereby			956	6	3
too			956	6	3
top			956	6	5
tournament			956	6	1
trained			956	6	3
treating			956	6	3
trust			956	6	3
tube			956	6	2
types			956	6	4
utilized			956	6	4
vary			956	6	3
view			956	6	3
welling			956	6	1
wide			956	6	1
write			956	6	2
abdomen			1111	5	1
accept			1111	5	1
action			1111	5	3
acute			1111	5	1
address			1111	5	4
affect			1111	5	3
against			1111	5	2
aimed			1111	5	4
aims			1111	5	3
alleviate			1111	5	4
allocation			1111	5	2
anterior			1111	5	1
article			1111	5	3
attribution			1111	5	5
aware			1111	5	1
ayık			1111	5	1
baş			1111	5	1
border			1111	5	1
burden			1111	5	2
business			1111	5	1
caregiver			1111	5	1
cases			1111	5	2
cd			1111	5	1
centered			1111	5	3
cghs			1111	5	1
challenge			1111	5	4
check			1111	5	3
circulation			1111	5	2
circumference			1111	5	1
clin			1111	5	3
clockwise			1111	5	2
closely			1111	5	4
collection			1111	5	3
colonic			1111	5	1
come			1111	5	2
conduct			1111	5	3
condyle			1111	5	1
constitutes			1111	5	2
consumption			1111	5	2
continue			1111	5	3
contribution			1111	5	3
cortisol			1111	5	1
covariate			1111	5	1
creating			1111	5	4
creativecommons			1111	5	5
de			1111	5	3
defining			1111	5	3
delivered			1111	5	2
depending			1111	5	5
descriptive			1111	5	4
determining			1111	5	3
differences			1111	5	4
digestive			1111	5	2
digital			1111	5	2
digits			1111	5	1
early			1111	5	4
educators			1111	5	1
encouraged			1111	5	3
erector			1111	5	1
every			1111	5	3
examination			1111	5	4
examiner			1111	5	1
exclusion			1111	5	4
experiencing			1111	5	3
facilitates			1111	5	2
factor			1111	5	4
few			1111	5	2
financially			1111	5	1
five			1111	5	3
flexibility			1111	5	2
fourth			1111	5	2
framework			1111	5	4
fully			1111	5	4
gaps			1111	5	2
generalized			1111	5	3
generally			1111	5	3
gülbeyaz			1111	5	1
habit			1111	5	1
hagen			1111	5	2
hanai			1111	5	1
hands			1111	5	4
headaches			1111	5	1
hip			1111	5	2
homes			1111	5	2
id			1111	5	2
identity			1111	5	1
ile			1111	5	1
illustrated			1111	5	2
implemented			1111	5	5
industry			1111	5	1
injury			1111	5	1
instructed			1111	5	2
integrate			1111	5	3
inter			1111	5	2
investigation			1111	5	4
involving			1111	5	2
irct			1111	5	1
jm			1111	5	3
kage			1111	5	1
karatay			1111	5	1
kim			1111	5	2
koha			1111	5	1
larger			1111	5	4
last			1111	5	2
leading			1111	5	2
less			1111	5	4
letter			1111	5	1
li			1111	5	3
linked			1111	5	1
mail			1111	5	5
maintain			1111	5	5
major			1111	5	4
man			1111	5	2
measurement			1111	5	3
media			1111	5	3
medial			1111	5	1
memory			1111	5	1
mentioned			1111	5	2
middle			1111	5	2
midwifery			1111	5	1
modalities			1111	5	5
negatively			1111	5	3
next			1111	5	3
noderivs			1111	5	5
noncommercial			1111	5	5
notification			1111	5	5
now			1111	5	3
nurs			1111	5	3
offering			1111	5	3
olgun			1111	5	1
oral			1111	5	2
own			1111	5	3
particular			1111	5	4
paul			1111	5	4
per			1111	5	4
perception			1111	5	4
persistence			1111	5	1
pilot			1111	5	4
policy			1111	5	3
polypharmacy			1111	5	1
positioned			1111	5	2
postoperative			1111	5	1
postural			1111	5	2
posture			1111	5	1
prevalent			1111	5	2
previous			1111	5	4
primarily			1111	5	2
problems			1111	5	3
processes			1111	5	4
project			1111	5	2
promis			1111	5	1
promote			1111	5	3
promoting			1111	5	3
put			1111	5	1
randomly			1111	5	2
really			1111	5	2
recipient			1111	5	1
recommendations			1111	5	2
recorded			1111	5	4
required			1111	5	3
requirements			1111	5	3
revealed			1111	5	4
rhomboid			1111	5	1
running			1111	5	1
said			1111	5	2
say			1111	5	2
scapula			1111	5	1
scientific			1111	5	3
segment			1111	5	1
serratus			1111	5	1
sf			1111	5	2
shifts			1111	5	1
shorter			1111	5	4
significance			1111	5	3
situation			1111	5	2
smd			1111	5	1
someone			1111	5	1
sources			1111	5	5
starting			1111	5	3
stood			1111	5	1
straining			1111	5	1
strength			1111	5	5
stretching			1111	5	3
structures			1111	5	2
subject			1111	5	3
supine			1111	5	2
surgical			1111	5	3
sustained			1111	5	2
technology			1111	5	2
tests			1111	5	3
thoracic			1111	5	1
traditional			1111	5	3
trainer			1111	5	1
treat			1111	5	3
true			1111	5	3
units			1111	5	3
universitas			1111	5	1
valuable			1111	5	3
via			1111	5	3
wang			1111	5	3
want			1111	5	1
wish			1111	5	2
working			1111	5	3
works			1111	5	2
worth			1111	5	2
x			1111	5	4
yaşam			1111	5	1
çelebi			1111	5	1
ş			1111	5	1
absence			1320	4	3
abstract			1320	4	4
accepted			1320	4	3
accessibility			1320	4	2
accessing			1320	4	2
account			1320	4	2
accuracy			1320	4	3
accurate			1320	4	2
actually			1320	4	1
adapted			1320	4	3
adding			1320	4	3
administered			1320	4	3
advice			1320	4	2
affecting			1320	4	4
affects			1320	4	3
allocated			1320	4	1
already			1320	4	2
altered			1320	4	2
analyses			1320	4	3
analyzed			1320	4	4
anything			1320	4	2
applying			1320	4	2
arovah			1320	4	1
assessments			1320	4	2
assigned			1320	4	1
asymmetry			1320	4	1
axis			1320	4	2
aydinferd			1320	4	2
basis			1320	4	2
become			1320	4	3
behind			1320	4	2
biceps			1320	4	1
biomedical			1320	4	1
blinded			1320	4	3
bodyw			1320	4	3
bristol			1320	4	1
cannot			1320	4	3
cause			1320	4	3
cells			1320	4	1
cephalalgia			1320	4	1
characterized			1320	4	2
chemotherapy			1320	4	1
chiropractic			1320	4	2
choose			1320	4	2
ci			1320	4	1
clearly			1320	4	2
clinicians			1320	4	2
close			1320	4	3
cognitive			1320	4	2
coherence			1320	4	1
colleagues			1320	4	2
collective			1320	4	1
com			1320	4	4
communicate			1320	4	2
completing			1320	4	1
complexity			1320	4	4
component			1320	4	2
concern			1320	4	3
concerns			1320	4	2
connection			1320	4	3
consent			1320	4	3
contingency			1320	4	1
correlation			1320	4	3
create			1320	4	2
cross			1320	4	1
currently			1320	4	3
demand			1320	4	2
detailed			1320	4	4
determined			1320	4	3
device			1320	4	2
diagnosed			1320	4	2
disorder			1320	4	3
distance			1320	4	1
done			1320	4	3
doğan			1320	4	1
dunedin			1320	4	1
dysfunctions			1320	4	2
easily			1320	4	3
ed			1320	4	2
educational			1320	4	3
eligible			1320	4	3
embodied			1320	4	1
emerged			1320	4	3
emphasizes			1320	4	4
encourages			1320	4	2
endotracheal			1320	4	2
engage			1320	4	3
especially			1320	4	3
established			1320	4	2
eta			1320	4	1
evaluating			1320	4	3
examine			1320	4	3
excessive			1320	4	2
exhibit			1320	4	1
expected			1320	4	4
experienced			1320	4	3
external			1320	4	1
faculty			1320	4	2
failed			1320	4	2
family			1320	4	3
feasible			1320	4	3
feedback			1320	4	4
feelings			1320	4	2
fekri			1320	4	2
female			1320	4	2
femoris			1320	4	1
fit			1320	4	3
focused			1320	4	3
foundation			1320	4	1
front			1320	4	2
functions			1320	4	3
games			1320	4	1
gfm			1320	4	1
gillespie			1320	4	2
giving			1320	4	2
got			1320	4	1
healing			1320	4	3
hiv			1320	4	1
home			1320	4	2
hotel			1320	4	1
human			1320	4	4
hydroxide			1320	4	1
hypothesis			1320	4	2
identify			1320	4	3
image			1320	4	2
implementing			1320	4	3
implications			1320	4	2
improving			1320	4	4
includes			1320	4	3
incorporate			1320	4	2
independently			1320	4	3
influence			1320	4	3
influenced			1320	4	4
initiatives			1320	4	1
injuries			1320	4	2
ins			1320	4	3
insights			1320	4	2
insufficient			1320	4	2
insurance			1320	4	1
intention			1320	4	4
interoception			1320	4	1
interpretation			1320	4	3
intestines			1320	4	2
investigated			1320	4	2
ischial			1320	4	1
jbmt			1320	4	3
jensen			1320	4	2
keep			1320	4	2
