File	KPF	Left Context	Hit	Right Context
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	4	pain. Our systematic review found that despite this literature, there 	were 	only a few conditions for which authors of systematic 
Pain Med. 2016 May 10;17(7)1353–137.txt	4	of practitioner was mentioned in almost all studies, practitioner qualifications 	were 	only mentioned by 14.9%. Although practitioners’ qualifications are likely associated 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	4	evidence that massage therapy was superior to other active therapies 	were 	rare.  Discussion There is a large literature of original 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	4	evidence. Although adverse events associated with massage therapy for pain 	were 	rare, the evidence was limited. For reviews that had 
Beyond the Barriers Alternative Pay.txt	4	living in either Auckland, Dunedin, or Invercargill.  Analysis All data 	were 	recorded and initially transcribed using the Otter.ai application. 
A Mindbody Approach to Long-standin.txt	4	over the course of the 10-session intervention period. Baseline measures 	were 	recorded prior to the first session, and follow-up 
The Effects of Abdominal I LOV U Ma.txt	4	In the intervention group, symptoms of improvement in gavage tolerance 	were 	seen in the elderly in the intervention group on 
The Effects of Abdominal I LOV U Ma.txt	4	on  day  5  of  the   19 intervention, but symptoms of gavage tolerance 	were 	seen on days 2-3 in the present study. The reason 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	4	massage therapy (eg, for pelvic floor pain) were ineligible, as 	were 	self-administered massage therapy techniques, such as foam rolling. 
A Mindbody Approach to Long-standin.txt	4	also contributed to the positive response. Additionally, all outcome measures 	were 	self-reported and not confirmed by medical follow-up.  
The Effects of Abdominal I LOV U Ma.txt	4	Rasouli's study, but the patients of the present study 	were 	the elderly with stroke. Both aging and stroke are 
Beyond the Barriers Alternative Pay.txt	4	was to explore MTs’ perceptions of APSs. PIF and installments 	were 	the most recognized. Some mentioned a PWYW scheme as 
The Effect of Self-Massage on Immun.txt	4	They attended two training sessions to ensure proper technique. They 	were 	then instructed to practice self-massage twice daily, in 
The Effect of Self-Massage on Immun.txt	4	Anticipating a 15% dropout rate, 20 participants were recruited per group. They 	were 	then randomly assigned to the self-massage group (20 participants) 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	4	limited. For reviews that had conclusions about adverse events, authors 	were 	uncertain if there was a difference between groups or 
Beyond the Barriers Alternative Pay.txt	4	No MTs selected PWYW as a preferred scheme, as they 	were 	uncertain they would have enough income. “It’s just 
Beyond the Barriers Alternative Pay.txt	4	therapist is gone, the money is gone”. However, some MTs 	were 	willing for clients to see records: “I would be 
Beyond the Barriers Alternative Pay.txt	4	the topic prior to being interviewed. Additionally, accessing clients who 	were 	willing to discuss their financial situation face to face 
Beyond the Barriers Alternative Pay.txt	3	population by both MTs and clients. One client thought APSs 	were: “	a really good idea for people who have money [
A Mindbody Approach to Long-standin.txt	3	and perceived stress, as measured by standardized scales. These improvements 	were 	accompanied by increased physical activity tolerance and greater subjective 
Pain Med. 2016 May 10;17(7)1353–137.txt	3	high or acceptable quality. While most aspects of internal validity 	were 	adequately addressed, many studies failed either to successfully carry 
Beyond the Barriers Alternative Pay.txt	3	challenges when thinking of providing or utilizing an APS. Considerations 	were 	administration, transparency, and possible impacts on the therapeutic relationship.  
The Effects of Abdominal I LOV U Ma.txt	3	each group.    6 In the research duration time about 100 stroke elderly 	were 	admitted to the acute neurologic ward. But 68 patients had 
Prevalence of Posterior Myofascial.txt	3	highlighting the benefits of early detection and diagnosis. These efforts 	were 	aimed at encouraging greater participation in the screening process. 
Beyond the Barriers Alternative Pay.txt	3	across the MT group and the client group. The themes 	were 	as follows: financial contexts, APS as a positive concept; 
The Effect of Self-Massage on Immun.txt	3	After being trained and provided with the illustrated guide, participants 	were 	asked to conduct the self-massage techniques twice daily 
The Effects of Abdominal I LOV U Ma.txt	3	in the present study.  The main limitations of the research 	were 	at first the differences in caregivers. Sometimes the researcher 
Prevalence of Posterior Myofascial.txt	3	all subjects met the established inclusion criteria. Additionally, both examiners 	were 	blinded to which side of the body was affected 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	3	self-administered massage therapy techniques, such as foam rolling. Reviews 	were 	categorized as those with at least 1 conclusion rated as 
The Effects of Abdominal I LOV U Ma.txt	3	Cohen and Miles & Shevlin (2001), the contingency coefficient in this case 	were 	CC*= 0.34 in fourth day and CC*=0.39 in fifth day. 
Beyond the Barriers Alternative Pay.txt	3	results from 19 participants (12 MTs, 7 clients) showed four main themes that 	were 	common across the MT group and the client group. 
Beyond the Barriers Alternative Pay.txt	3	being as good …I’d want to know that they 	were 	completely professional and did all the right things,” Client 4. 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	3	no conclusions were rated as high certainty of evidence. There 	were 7 	conclusions that were rated as moderate-certainty evidence; all 
The Effects of Abdominal I LOV U Ma.txt	3	second patient 2, third 3 and so on. This method of sampling 	were 	continued until completing all of the 68 patients in each 
A Mindbody Approach to Long-standin.txt	3	each session, the client’s comfort and sense of safety 	were 	continuously monitored using both verbal and non-verbal cues. 
Beyond the Barriers Alternative Pay.txt	3	own geographical area.  Participants Two populations were recruited: MTs who 	were 	currently practicing and for whom massage therapy was their 
The Effects of Abdominal I LOV U Ma.txt	3	In the present study, the mean days of constipation recovery 	were 3-5 	days after the intervention. It can be concluded that 
The Effect of Self-Massage on Immun.txt	3	MCS (p < 0.001 for both), but no significant within-group changes 	were 	detected in either the self-massage or control group. 
Prevalence of Posterior Myofascial.txt	3	As a result, a total of 1,283 individuals were screened, and 188 	were 	diagnosed with CGH who met the study’s inclusion 
The Effects of Abdominal I LOV U Ma.txt	3	found that the duration of  the constipation improvement in  patients 	were 	different. Some of  the patients' constipations  improved after three 
The Effects of Abdominal I LOV U Ma.txt	3	message in each patient in ten days. But some patients 	were 	discharged before the end of the research and the 
The Effects of Abdominal I LOV U Ma.txt	3	Implementation steps in experimental group   9 The intervention in experimental group 	were 	divided in to two parts. Abdominal message and life 
Beyond the Barriers Alternative Pay.txt	3	t pay off, I wouldn’t think,” MT 18. These sentiments 	were 	echoed by clients: “Pay what you wish, probably people 
Beyond the Barriers Alternative Pay.txt	3	Invercargill, Dunedin and Auckland, Aotearoa New Zealand.  Participants The participants 	were 12 	employed MTs, and 7 massage therapy clients for whom cost 
Prevalence of Posterior Myofascial.txt	3	TrPs across the upper back, lower back, and lower limbs 	were 	examined by examiner 1. Muscle tightness in the trapezius, thoracolumbar 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	3	In this case, we reviewed and included only publications that 	were 	explicitly labeled acupressure and did not review publications about 
Prevalence of Posterior Myofascial.txt	3	and the presence of TrPs in the posterior kinetic chain 	were 	expressed as percentages. A comparison of the TrP and 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	3	dozens of systematic reviews about adult health conditions since 2018, there 	were 	few conclusions that had greater than low certainty of 
The Effects of Abdominal I LOV U Ma.txt	3	the informed consent. And the patients and their care givers 	were 	free to leave the research in any time they 
Beyond the Barriers Alternative Pay.txt	3	and bartering for services was not uncommon. Additionally, gift vouchers 	were 	frequently used, and it was articulated more than once 
Beyond the Barriers Alternative Pay.txt	3	likely to book in for massage with them?  16. If you 	were 	going to book with a massage therapist who offered 
Beyond the Barriers Alternative Pay.txt	3	that again unless I pay it forward,” Client 3. Some clients 	were 	happy to receive free or discounted massages: “Yeah, that’
Pain Med. 2016 May 10;17(7)1353–137.txt	3	for massage therapy.  Methodology Overall, the majority of these studies 	were 	high or acceptable quality. While most aspects of internal 
The Effects of Abdominal I LOV U Ma.txt	3	tolerance evaluation checklist. Results: The results indicated that both groups 	were 	homogeneous in demographic variables (P>  0.05).  The  repeated  ANOVA  showed  
The Effects of Abdominal I LOV U Ma.txt	3	time of hospitalization in patients in the study. Some patients 	were 	hospitalized more than two weeks, then the researcher could 
The Effect of Self-Massage on Immun.txt	3	after the 8-week intervention period (posttest). The primary outcome measures 	were 	immune status, perceived immune function, perceived health, stress levels, 
JAMA Netw Open. 2024 Jul 15;7(7)e24.txt	3	needling, and internal massage therapy (eg, for pelvic floor pain) 	were 	ineligible, as were self-administered massage therapy techniques, such 
The Effects of Abdominal I LOV U Ma.txt	3	groups about the numbers of food tolerance in elderly that 	were 	intake food through NG tube (P=0.036).   Also the results 
The Effects of Abdominal I LOV U Ma.txt	3	training. 2.4.1.1 Abdominal message   According  to  the  Tekgündüz  et  al.  (2014), who  	were  	introduced  the  ILOVU  abdominal message  in  neonates,  the  message  
The Effects of Abdominal I LOV U Ma.txt	3	Glasgow coma scale above 7; Having a key caregiver. Exclusion criteria 	were 	involved: unwillingness to participate in the study; the patient 
Beyond the Barriers Alternative Pay.txt	3	context, findings may be culturally location specific. Client demographic data 	were 	limited. It would be worthwhile to understand these demographics 
Beyond the Barriers Alternative Pay.txt	3	population, four were female and three were male. All participants 	were 	living in either Auckland, Dunedin, or Invercargill.  Analysis All 
Pain Med. 2016 May 10;17(7)1353–137.txt	3	manipulation alone. Another study [75] demonstrated that costs of outpatient services 	were 	lower in the massage group than Traditional Chinese Medical 
Constipation Management and Abdomin.txt	3	once  daily  for  30  days  in  older  adults,  and  bowel  outcomes  	were  	monitored  using  a defecation diary. The number of defecations 
Pain Med. 2016 May 10;17(7)1353–137.txt	3	clear descriptions and justification for the use of such comparators 	were 	noticeably absent in many trials. Research needs to focus 
The Effects of Abdominal I LOV U Ma.txt	3	square and etc.   Ethical considerations: The approval of the research 	were 	obtained from the ethics committee of Mashhad University of 
Beyond the Barriers Alternative Pay.txt	3	accessible for people financially, that would be good,” MT 14.  APSs 	were, 	overall, seen as a positive tool for making massage 
Beyond the Barriers Alternative Pay.txt	3	were required to be over 18 years old. Separate interview questions 	were 	prepared for each population (Appendixes I and II). Participants 
The Effects of Abdominal I LOV U Ma.txt	3	all areas, where we massaged by writing I and L, 	were 	re-massaged continually. To write a letter U, massage 
The Effects of Abdominal I LOV U Ma.txt	3	Mashhad University of Medical Sciences: IRMUMS.NURSE.REC.1397.004. The research 	were 	registered in Iran Randomized clinical Trail registration site: IRCT20180721040547
A Mindbody Approach to Long-standin.txt	3	she began expressing optimism about her future.  No adverse effects 	were 	reported during or after the intervention.  DISCUSSION This case 
Beyond the Barriers Alternative Pay.txt	3	cost was a barrier to seeking further massages. All participants 	were 	required to be over 18 years old. Separate interview questions 
Constipation Management and Abdomin.txt	3	another  study  found  that  77.3%  of  older  adults with chronic constipation 	were 	residing in nursing homes, highlighting the institutional burden of 
Beyond the Barriers Alternative Pay.txt	3	personal system by having individual conversations with clients. Many clients 	were 	reticent about receiving money from other people for their 
A Mindbody Approach to Long-standin.txt	3	lasting approximately 60 min, delivered in a private clinical setting. Sessions 	were 	scheduled weekly over a 10-week period. Outcome measures were 
Pain Med. 2016 May 10;17(7)1353–137.txt	3	of life outcomes across all pain populations.  Methods Key databases 	were 	searched from inception through February 2014. Eligible randomized controlled trials 
The Effects of Abdominal I LOV U Ma.txt	3	ICU patients (21, 27, 28) and the functional constipation(29). All of the studies 	were 	showed the effectiveness of abdominal message on constipation. But 
The Effects of Abdominal I LOV U Ma.txt	3	food tolerance frequencies through  Gavage  (P=0.20),  and  also  orally  (P<0.001)  	were  	significantly  improved  in  the intervention group.  Conclusion: According to 
Beyond the Barriers Alternative Pay.txt	3	and it was articulated more than once that gift vouchers 	were 	similar to paying it forward.  Kohrt et al.(15) claim 
The Effect of Self-Massage on Immun.txt	3	group. These results suggest that improvements in immune-related outcomes 	were 	specific to the intervention. In contrast, other outcomes, such 
The Effects of Abdominal I LOV U Ma.txt	3	of the patient's key care giver. Then the intervention 	were 	started in the experimental group in ten days. The 
The Effects of Abdominal I LOV U Ma.txt	3	conclusion was consistent with the present study. In  neonates,  there  	were  	symptoms  of  gavage  tolerance  improvement  on  day  5  of  the   19 
