File	KPF	Left Context	Hit	Right Context
Benefits of a full-body lymphatic m.txt	21	the back of the shoulder you can kind of work 	back 	and down towards the armpit five to eight in 
Massage Therapy Dos and Don'ts.txt	21	great for self-care; you can work your own shoulders, 	back, 	and even go into your lumbar spine. There's 
Benefits of a full-body lymphatic m.txt	21	back you want to think about the middle of the 	back 	and everything from that middle and over again everything 
Effleurage and Petrissage.txt	21	medium onto my hand so my hand is touching the 	back 	and I'm going to put about two to 
Unlock Medical Terminology for Mass.txt	21	go, we've got cervical, thoracic—which is the upper 	back—	and lumbar. So, we know that it's somewhere 
Top Massage Etiquette Tips What You.txt	21	another important consideration. Failing to ever exfoliate or scrub your 	back 	and neck can result in excess dead skin coming 
Benefits of a full-body lymphatic m.txt	21	your hand as possible making sure we're getting the 	back 	and on the outside and then all areas a 
Circadia University Body Treatment.txt	21	upwards. From here, you want to start to get the 	back 	and the sides of the arms as well. This 
Benefits of a full-body lymphatic m.txt	21	back of the leg you can go straight up the 	back 	and you can do a couple more circles behind 
Benefits of a full-body lymphatic m.txt	17	to actually get the fluid moving so we're going 	back 	to the back of the hand again you can 
Benefits of a full-body lymphatic m.txt	17	need to or use the hand but we're going 	back 	to the hand and then we're going to 
Benefits of a full-body lymphatic m.txt	17	of the day yes all this  fluid makes its way 	back 	to the heart however the lymphatic vessels that sit 
Benefits of a full-body lymphatic m.txt	17	much time as you'd like you can also go 	back 	to the hip again if you want to you'
Benefits of a full-body lymphatic m.txt	17	to the hand and then we're going to go 	back 	to the lower arm working towards the elbow towards 
Benefits of a full-body lymphatic m.txt	17	of the video and then we're going to go 	back 	to the thigh and so from the knee towards 
PROS & CONS of a Massage Therapy Ca.txt	12	where you at least try to get as many sessions 	back 	to back as you can put together try to 
Circadia University Body Treatment.txt	12	com/watch?v=7TBf5MCR5g8  Introduction Hi everyone, welcome 	back 	to Circadia University. Today we’re going to be 
Effleurage and Petrissage.txt	12	we would move around to the other side of the 	back 	to complete the technique on the other side okay 
Effleurage and Petrissage.txt	12	lower back so making sure each time we're coming 	back 	to this start position we're squeezing and then 
Benefits of a full-body lymphatic m.txt	14	once you've done that you're going to go 	back 	up to the upper arm so from elbow to 
Benefits of a full-body lymphatic m.txt	14	back up and so we're going to go up 	back 	up to the lower leg upwards same thing in 
Effleurage and Petrissage.txt	14	the neck so knee to the back first then come 	back 	up to the shoulders and then into the neck 
Benefits of a full-body lymphatic m.txt	12	more time there but then we're going to go 	back 	up towards the ankle to the knee and then 
Benefits of a full-body lymphatic m.txt	12	tendons back there and then we're going to finish 	back 	up towards the thigh going from the knee to 
Benefits of a full-body lymphatic m.txt	10	what's happening we're going to work our way 	back 	up and so we're going to go up 
Benefits of a full-body lymphatic m.txt	10	then last time in reverse for this side so working 	back 	up in the foot and ankle and if someone 
Benefits of a full-body lymphatic m.txt	10	go in reverse and so we're going to go 	back 	up the arm doing the same thing i'm 
Effleurage and Petrissage.txt	13	m opening up the fingers as I lower my hands 	back 	down the back bring the fingers back together coming 
Effleurage and Petrissage.txt	13	the shoulders stretching the shoulders and then lowering those hands 	back 	down the back so the pressure is on when 
Effleurage and Petrissage.txt	13	upper traps and then reducing the pressure as I come 	back 	down the back and then from here I'm 
Effleurage and Petrissage.txt	13	fingers move forward so I'm now going to come 	back 	down the back sometimes your clients might find this 
Benefits of a full-body lymphatic m.txt	8	the middle towards the back of the armpit on the 	back 	so i can't reach very far on my 
Nervous System Reset Self foot re.txt	8	the foot which relates to the hips, legs and lower 	back. 	So I like to just support my foot here 
Effleurage and Petrissage.txt	7	the pressure is off when I'm moving my hands 	back 	down but it's nice to open up those 
The FULL GUIDE to ALL MASSAGE STYLE.txt	7	syndrome, rotator cuff tear, um knee pain, hip pain, low 	back 	pain, any of these kind of conditions, I would 
Nervous System Reset Self foot re.txt	7	So this is particularly wonderful if you suffer with lower 	back 	pain, bulge discs, sciatica, then you can really focus 
The FULL GUIDE to ALL MASSAGE STYLE.txt	7	them. However, the senior therapist can deal with neck pain, 	back 	pain, knee pain, any of the normal stuff that 
PROS & CONS of a Massage Therapy Ca.txt	7	but you know that they're normal like neck pain 	back 	pain shoulder pain just be willing to be h 
The FULL GUIDE to ALL MASSAGE STYLE.txt	7	pain management and uh issuebased work. you have neck pain, 	back 	pain, you tore your rotator cuff, you're recovering 
Effleurage and Petrissage.txt	7	looser if they've got more tension in their lower 	back 	so making sure each time we're coming back 
Effleurage and Petrissage.txt	7	and then coming on onto the other side of the 	back 	so sometimes on the back you don't get 
Effleurage and Petrissage.txt	7	the shoulders and then lowering those hands back down the 	back 	so the pressure is on when I'm moving 
Nervous System Reset Self foot re.txt	6	you perhaps suffer with upper neck issues, middle of the 	back 	or lower back, you could work the relevant portion 
Effleurage and Petrissage.txt	6	quite rounded back in the rib cage a kyot it 	back 	or other times it might be a little bit 
Benefits of a full-body lymphatic m.txt	6	done that if someone is able to reach on their 	back 	or they have help for their back you want 
PROS & CONS of a Massage Therapy Ca.txt	6	with before whether it's herniated disc in the low 	back 	or this or the neck or whether it's 
Nervous System Reset Self foot re.txt	6	with upper neck issues, middle of the back or lower 	back, 	you could work the relevant portion of the spine 
Effleurage and Petrissage.txt	6	the other side of the back so sometimes on the 	back 	you don't get as much of a lift 
The FULL GUIDE to ALL MASSAGE STYLE.txt	6	stretching, other movement such that maybe it doesn't come 	back, 	you know, and sometimes that really quick relief that 
Benefits of a full-body lymphatic m.txt	6	reach on their back or they have help for their 	back 	you want to think about the middle of the 
Effleurage and Petrissage.txt	5	done that thousand hand technique I'm going to come 	back 	into a sweep of double-handed eage really making 
Nervous System Reset Self foot re.txt	5	to assist me ensuring that all of my systems go 	back 	into balance.  And that really is the beauty of 
The FULL GUIDE to ALL MASSAGE STYLE.txt	5	starts to melt and move again and then I'm 	back 	into doing myofascial release. Uh and so those two 
The FULL GUIDE to ALL MASSAGE STYLE.txt	5	to 15 minutes to kind of integrate it and put you 	back 	together again. So, it's a little bit more 
Effleurage and Petrissage.txt	5	lower my hands back down the back bring the fingers 	back 	together coming up like the erector spine ey muscle 
The FULL GUIDE to ALL MASSAGE STYLE.txt	5	you apart and then sent you home to put yourself 	back 	together, which you will enjoy because you'll actually 
Benefits of a full-body lymphatic m.txt	5	ve cleared the whole arm and so we're going 	back 	in the other direction to actually get the fluid 
Effleurage and Petrissage.txt	5	rib cage especially if your client's got quite rounded 	back 	in the rib cage a kyot it back or 
Benefits of a full-body lymphatic m.txt	5	work around towards the front wrapping around the body low 	back 	same thing and then once you've hit all 
Benefits of a full-body lymphatic m.txt	5	but that's the direction so middle out towards the 	back 	same thing lower about the line where the belly 
Benefits of a full-body lymphatic m.txt	5	comes to  the front so as we go through the 	back 	we're actually starting to wrap around towards the 
Benefits of a full-body lymphatic m.txt	5	go ahead and make sure we clear that so going 	back 	we're going to go from below the ear 
Benefits of a full-body lymphatic m.txt	4	a little so you can see but from that low 	back 	area it actually is going to come around towards 
Effleurage and Petrissage.txt	4	the medium um covered over the whole of that wider 	back 	area we're also warming these muscles up ready 
Effleurage and Petrissage.txt	4	then complete the techniques on the other side of the 	back 	as well once you've then done both sides 
PROS & CONS of a Massage Therapy Ca.txt	4	at least try to get as many sessions back to 	back 	as you can put together try to do a 
Effleurage and Petrissage.txt	4	I'm going to move on to ringing of the 	back 	okay so I've got one hand pointing downwards 
Effleurage and Petrissage.txt	4	nice and uh tall once you're moving up the 	back 	okay then from here I'm going to apply 
Benefits of a full-body lymphatic m.txt	4	strokes there and kind of work on all areas front 	back 	on each side i'm going to work them 
Effleurage and Petrissage.txt	4	ve done this technique a couple of times over the 	back 	on one side you would then move round to 
Effleurage and Petrissage.txt	4	demonstrated uage and Petras Foundation massage techniques to The Wider 	back 	region if you'd like to see further demonstrations 
Effleurage and Petrissage.txt	4	m going to demonstrate Foundation massage techniques to The Wider 	back 	region including uage and pet techniques okay so before 
Effleurage and Petrissage.txt	4	Direction okay so we're covering the whole of the 	back 	with that technique again about Med medium pressure depending 
Effleurage and Petrissage.txt	4	okay then once we've covered the hole of the 	back 	with the medium we've done that thousand hand 
Effleurage and Petrissage.txt	3	moving on so we would move up and down the 	back 	anywhere between four to six times in a wider 
Benefits of a full-body lymphatic m.txt	3	the side you can kind of work from the low 	back 	around towards the  front and same thing with the 
Benefits of a full-body lymphatic m.txt	3	the lower leg you can just go straight up the 	back 	because of those lymph nodes that are right behind 
Unlock Medical Terminology for Mass.txt	3	A. The client had a bone fracture in the upper 	back. (	Bone fracture would be osteo something, right? No, that 
Effleurage and Petrissage.txt	3	the fingers as I lower my hands back down the 	back 	bring the fingers back together coming up like the 
Circadia University Body Treatment.txt	3	good right before you shave or right before you wax.  	Back 	Brushing Now we're going to go ahead and 
Effleurage and Petrissage.txt	3	the spinus process which is at the center of the 	back 	com off the back of the vertebral column so 
Effleurage and Petrissage.txt	3	on and you're working all the way up the 	back 	cross the shoulders so so we're still applying 
Benefits of a full-body lymphatic m.txt	3	go the inside make sure we're also doing the 	back 	elbow to the armpit Follow-along lymphatic drainage for 
Circadia University Body Treatment.txt	3	before I go on to the next step.  Leg Brushing (	Back) & 	Feet Now we're going to move on to 
Effleurage and Petrissage.txt	3	space to come into the neck so knee to the 	back 	first then come back up to the shoulders and 
Benefits of a full-body lymphatic m.txt	3	neck again  and kind of work your fingers around the 	back  	five to eight times and then same thing on 
Effleurage and Petrissage.txt	3	Effleurage and Petrissage to the 	Back - 	Foundation Massage Techniques  https://www.youtube.com/watch?v=
Effleurage and Petrissage.txt	3	before I then apply the medium onto the client's 	back 	I'm going to warm the medium up and 
Benefits of a full-body lymphatic m.txt	3	spend some time as you want same thing for the 	back 	if someone can reach you're working from the 
Circadia University Body Treatment.txt	3	We’re going to start the dry brushing on the 	back. 	It's the same motion as we did in 
Benefits of a full-body lymphatic m.txt	3	front of the hip and then same thing in the 	back 	kind of wrap around towards the front as you 
Unlock Medical Terminology for Mass.txt	3	So, we know that it's somewhere in the upper 	back. 	Myo would be referring to muscle. Okay. "Myalgia in 
Effleurage and Petrissage.txt	3	legs and your abdominal muscles are engaged they keep your 	back 	nice and uh tall once you're moving up 
Nervous System Reset Self foot re.txt	3	end.  allowing my body to relax completely  and to balance 	back 	out naturally  draining up towards the ankle  moving around  
Unlock Medical Terminology for Mass.txt	3	C. The client had inflammation of the skin on the 	back. (	Skin would be derma. Inflammation would be itis. So 
Effleurage and Petrissage.txt	3	so I'm now going to come back down the 	back 	sometimes your clients might find this technique slightly ticklish 
Effleurage and Petrissage.txt	3	and we're going to do one side of the 	back 	then we would move around to the other side 
Benefits of a full-body lymphatic m.txt	3	the knee doing some circles there working around those tendons 	back 	there and then we're going to finish back 
Benefits of a full-body lymphatic m.txt	3	and so there are no lymph nodes in your low 	back 	they're actually all into the groin and so 
Effleurage and Petrissage.txt	3	the tissue up okay so you would work around the 	back 	three to four times with that kneading technique if 
Effleurage and Petrissage.txt	3	you're going to lift the tissue as we come 	back 	thumbs to fingers and then thumbs to fingers okay 
Effleurage and Petrissage.txt	3	medius um muscles which um can be included in that 	back 	treatment I'm now going to apply the massage 
Effleurage and Petrissage.txt	3	uncomfortable lay flat down or they've got any lower 	back 	um disorders then quite often they'll prefer having 
Benefits of a full-body lymphatic m.txt	3	front and same thing with the glute in the low 	back 	wrapping around towards the front and then we're 
Benefits of a full-body lymphatic m.txt	3	we think about more of the sides everything from the 	back 	wraps around to the front and so there are 
